Stock Symbol,Instrument Token
ADANIENT,6401
APOLLOHOSP,40193
ASIANPAINT,60417
BAJFINANCE,81153
BEL,98049
HDFCLIFE,119553
BPCL,134657
BRITANNIA,140033
CIPLA,177665
EICHERMOT,232961
GRASIM,315393
HDFCBANK,341249
HEROMOTOCO,345089
HINDALCO,348929
HINDUNILVR,356865
INFY,408065
ITC,424961
KOTAKBANK,492033
M&M,519937
ONGC,633601
RELIANCE,738561
SBIN,779521
SUNPHARMA,857857
TATACONSUM,878593
TATAMOTORS,884737
TATASTEEL,895745
TITAN,897537
TORNTPHARM,900609
WIPRO,969473
ICICIBANK,1270529
INDUSINDBK,1346049
AXISBANK,1510401
HCLTECH,1850625
BHARTIARTL,2714625
DIVISLAB,2800641
MARUTI,2815745
UPL,2889473
LT,2939649
ULTRACEMCO,2952193
TCS,2953217
NTPC,2977281
JSWSTEEL,3001089
TECHM,3465729
POWERGRID,3834113
ADANIPORTS,3861249
BAJAJ-AUTO,4267265
BAJAJFINSV,4268801
NESTLEIND,4598529
COALINDIA,5215745
SBILIFE,5582849
